,gene_ID,average_log2FoldChange,adjpval
gene-crabp2a,crabp2a,-1.704962331,2.10E-12
gene-LOC108179579,LOC108179579,-3.411523222,1.91E-09
gene-deptor,deptor,-1.665370861,0
gene-LOC101886692,LOC101886692,-3.268670401,3.78E-05
gene-fabp11b,fabp11b,2.878988984,1.44E-06
gene-ccdc12,ccdc12,6.818100146,9.51E-07
gene-LOC110437979,LOC110437979,-2.550287072,0.000283465
gene-cd27,cd27,-2.021144439,6.04E-06
gene-gapdh,gapdh,1.769470847,0
gene-LOC108179593,LOC108179593,-2.251632105,0.027783199
gene-si:dkey-17m8.2,si:dkey-17m8.2,-2.75569754,2.14E-06
gene-si:dkeyp-13d11.1,si:dkeyp-13d11.1,-2.499096745,0.00014279
gene-si:ch211-254p10.2,si:ch211-254p10.2,-1.651759392,0
gene-LOC567790,LOC567790,-1.781003152,0
gene-abcb5,abcb5,1.573544053,0
gene-LOC108179597,LOC108179597,-2.16412932,2.29E-05
gene-twist1b,twist1b,-1.754818987,1.81E-09
gene-si:dkey-271j15.3,si:dkey-271j15.3,-2.438198777,2.87E-06
gene-LOC100006926,LOC100006926,-2.437131502,0.025951816
gene-dicp3.1,dicp3.1,-1.717465849,0.000283068
gene-LOC110437983,LOC110437983,-3.124881784,1.18E-06
gene-LOC103908925,LOC103908925,-3.348052019,0
gene-LOC110437984,LOC110437984,-3.102769299,0.002644085
gene-si:dkey-71b5.7,si:dkey-71b5.7,-3.184195124,0
gene-LOC101885445,LOC101885445,-1.636013063,0.01397477
gene-tuft1a,tuft1a,-1.8784308,0
gene-s100t,s100t,2.378291253,4.74E-11
gene-LOC110437753,LOC110437753,-1.831211222,0.013212899
gene-si:dkey-247k7.2,si:dkey-247k7.2,-2.714966117,2.26E-12
gene-trim46a,trim46a,-2.695029643,3.01E-08
gene-s100w,s100w,-1.679380167,0.003037272
gene-icn2,icn2,-1.543789657,0.003219619
gene-osgin2,osgin2,-1.953542912,0.001368116
gene-si:dkey-7f3.9,si:dkey-7f3.9,-2.649788947,0
gene-apoeb,apoeb,-1.928072828,0
gene-si:ch211-79k12.1,si:ch211-79k12.1,-1.864278603,0
gene-spaca6,spaca6,-2.3324425,0
gene-fpr1,fpr1,-2.088241699,1.28E-05
gene-kcnn4,kcnn4,-1.534228907,0
gene-dync1i1,dync1i1,-1.754843199,0
gene-LOC103908932,LOC103908932,-2.351802318,0.000961408
gene-LOC108179611,LOC108179611,-2.583340094,0.000567081
gene-cd79a,cd79a,-2.22095917,6.37E-08
gene-tmem145,tmem145,-1.866869105,0
gene-esrp1,esrp1,-1.88019016,0
gene-gem,gem,-2.321267966,6.13E-06
gene-frrs1l,frrs1l,-2.912170258,1.72E-08
gene-acbd7,acbd7,-2.724253053,0
gene-dcst1,dcst1,-4.145233732,0
gene-dcst2,dcst2,-2.069113765,0
gene-abcb4,abcb4,-1.664168101,0
gene-si:dkey-239n17.4,si:dkey-239n17.4,-1.762459278,1.21E-14
gene-syt11b,syt11b,-1.550143709,1.10E-07
gene-nes,nes,-2.203455575,0.000781115
gene-ctss2.1,ctss2.1,1.703248654,0
gene-onecutl,onecutl,-2.292450702,0
gene-s100a1,s100a1,1.816345273,0
gene-tlr18,tlr18,1.542856221,0
gene-rhbg,rhbg,-2.772118497,2.12E-12
gene-hapln2,hapln2,-2.301107721,0.000470192
gene-LOC103908940,LOC103908940,-2.171669877,3.98E-05
gene-LOC103908938,LOC103908938,-2.315939047,0.00010227
gene-pear1,pear1,-1.560147651,4.73E-13
gene-wisp1b,wisp1b,-1.609014518,0.025491735
gene-LOC101884146,LOC101884146,-2.635826211,0.004538407
gene-LOC561000,LOC561000,-1.924775926,9.58E-09
gene-wnt4b,wnt4b,-2.030119736,0.009280413
gene-LOC108179621,LOC108179621,-1.561813067,0.004726322
gene-gstk4,gstk4,-2.464753703,1.52E-08
gene-tmc4,tmc4,-1.526058541,0.00669602
gene-si:dkey-40m6.8,si:dkey-40m6.8,-1.868932988,0
gene-zgc:172323,zgc:172323,1.704967337,0
gene-prss35,prss35,-3.776342952,7.41E-14
gene-dnali1,dnali1,-3.839321812,0
gene-oprd1b,oprd1b,-1.890809041,0.000690385
gene-rcc1,rcc1,1.513121191,0
gene-LOC101885684,LOC101885684,-1.752781708,0.007358363
gene-paqr7b,paqr7b,-1.510320596,0
gene-stmn1b,stmn1b,-2.498048441,0
gene-rab42b,rab42b,1.618267208,8.54E-08
gene-ptprub,ptprub,-1.654442997,0
gene-taf12,taf12,-6.876727636,0.027057506
gene-LOC101885829,LOC101885829,-2.309411173,0
gene-LOC101885342,LOC101885342,-1.63624878,1.59E-08
gene-LOC101885930,LOC101885930,-2.625311751,0
gene-LOC110437991,LOC110437991,-3.684996293,0.004256482
gene-LOC103908954,LOC103908954,-1.857662578,5.42E-06
gene-LOC108179634,LOC108179634,-2.752816979,0.000226287
gene-LOC101887157,LOC101887157,-2.051873433,8.00E-06
gene-si:ch73-215d9.1,si:ch73-215d9.1,-1.505311382,0
gene-rspo2,rspo2,-2.729131864,0.002647369
gene-LOC110437995,LOC110437995,-2.200087264,0
gene-LOC101885539,LOC101885539,-1.861810246,4.21E-07
gene-si:dkey-22o22.2,si:dkey-22o22.2,-2.095980325,0
gene-si:dkey-11p23.7,si:dkey-11p23.7,-3.024764236,2.08E-11
gene-aste1,aste1,-2.172058349,0.003912205
gene-ubxn11,ubxn11,-3.499362427,0
gene-scn1ba,scn1ba,-3.761945116,0
gene-pycard,pycard,-1.750118207,4.08E-16
gene-zp3d.2,zp3d.2,1.987996422,0
gene-zp3d.1,zp3d.1,1.592378072,0
gene-zgc:162160,zgc:162160,1.54739864,0
gene-LOC101886004,LOC101886004,-1.861505015,0.038962441
gene-LOC100330743,LOC100330743,-1.841228204,0
gene-hfe2,hfe2,-2.016490662,0
gene-polr3glb,polr3glb,-2.253064174,0
gene-LOC798168,LOC798168,-1.656983821,2.91E-07
gene-dbf4,dbf4,-1.561773509,0
gene-LOC108179511,LOC108179511,-3.30971059,0
gene-upk1a,upk1a,-2.958939344,0.023684327
gene-si:dkey-33i11.9,si:dkey-33i11.9,-1.882982945,0.007601538
gene-si:dkey-33i11.3,si:dkey-33i11.3,-2.005206926,0
gene-si:dkey-33i11.1,si:dkey-33i11.1,-3.013395391,0
gene-si:rp71-77l1.2,si:rp71-77l1.2,-2.712864577,0.001257514
gene-rgl2,rgl2,-1.872540262,0.004057365
gene-syngap1b,syngap1b,-2.546847442,0
gene-mtmr11,mtmr11,-1.540754454,7.74E-05
gene-sv2a,sv2a,-1.608087074,0
gene-LOC100331378,LOC100331378,-1.531896717,0.029512931
gene-zmp:0000000881,zmp:0000000881,-3.484032977,0.000138804
gene-col28a1b,col28a1b,-1.885475965,0.007774527
gene-ext1a,ext1a,1.659988182,0
gene-LOC558761,LOC558761,-1.952444464,6.81E-14
gene-LOC100536500,LOC100536500,-2.592226098,6.73E-08
gene-znf385d,znf385d,-1.692882291,0
gene-vsig10l,vsig10l,-1.699107119,0
gene-nek10,nek10,-2.004686745,0
gene-LOC103908986,LOC103908986,1.905495693,0
gene-hmgn2,hmgn2,-1.537368833,0
gene-klf10,klf10,-2.14574137,3.65E-05
gene-LOC101885174,LOC101885174,-4.647416511,0
gene-LOC101884966,LOC101884966,-2.54170751,0
gene-zgc:193681,zgc:193681,-2.67101403,0.000548175
gene-LOC101885705,LOC101885705,-3.476509448,4.08E-16
gene-LOC108179657,LOC108179657,1.551915815,0
gene-spire1b,spire1b,-1.528730586,0
gene-LOC100333482,LOC100333482,-2.115677077,0.030760306
gene-LOC100334198,LOC100334198,-3.312722944,1.21E-15
gene-LOC101886521,LOC101886521,-3.044960048,5.76E-09
gene-LOC101886755,LOC101886755,-2.17053633,0
gene-LOC101885075,LOC101885075,-3.820057237,0
gene-drd2l,drd2l,-1.927586804,0
gene-osr2,osr2,-1.892008305,0
gene-cyp11c1,cyp11c1,-3.750092778,0
gene-LOC101882656,LOC101882656,-1.674880932,0.000113699
gene-si:ch1073-209e23.1,si:ch1073-209e23.1,-1.6674734,0
gene-actc1b,actc1b,-1.512410652,0
gene-LOC101882472,LOC101882472,-1.746292879,8.36E-10
gene-LOC108179665,LOC108179665,-1.78211049,0.003112067
gene-spag1b,spag1b,-2.050777375,0
gene-nipal2,nipal2,-1.74472295,2.89E-07
gene-rgs22,rgs22,-2.020238684,0
gene-eomesb,eomesb,-1.532868776,0.044851994
gene-zgc:195050,zgc:195050,-2.920122623,8.52E-05
gene-dlk1,dlk1,-2.166991312,7.28E-06
gene-cyp1c2,cyp1c2,-2.416773312,0
gene-pld4,pld4,-1.790151019,1.23E-12
gene-LOC100536197,LOC100536197,-2.299117122,0.013174446
gene-LOC100148225,LOC100148225,1.854351237,0
gene-zp3.2,zp3.2,2.132853921,0
gene-LOC100536860,LOC100536860,2.057695309,0
gene-inafm2,inafm2,-1.917302204,0.000680336
gene-si:dkey-248g15.3,si:dkey-248g15.3,-4.030954694,6.09E-10
gene-zp3,zp3,1.622053551,0
gene-kcnk10b,kcnk10b,-2.598878714,2.77E-11
gene-tpo,tpo,-2.81150472,1.04E-05
gene-napba,napba,-2.279189994,0.011036316
gene-LOC108179735,LOC108179735,-1.799708619,0
gene-si:ch73-340m8.2,si:ch73-340m8.2,-1.550383656,1.29E-06
gene-LOC103909007,LOC103909007,2.222136816,6.02E-12
gene-si:dkey-100n19.2,si:dkey-100n19.2,-4.959313314,0
gene-ptk2ba,ptk2ba,-2.000209107,0
gene-LOC100535969,LOC100535969,-1.571245203,1.12E-08
gene-zgc:175176,zgc:175176,-1.666577442,3.97E-15
gene-LOC110438034,LOC110438034,-2.609267221,1.93E-08
gene-smc6,smc6,-1.998139142,0
gene-si:ch73-242m19.1,si:ch73-242m19.1,-2.492670394,0.000545205
gene-zgc:172341,zgc:172341,-2.649104477,0.00087194
gene-LOC100331876,LOC100331876,-2.816232738,0.010799821
gene-LOC101885212,LOC101885212,-2.265227346,1.29E-05
gene-LOC110437849,LOC110437849,-1.671581766,6.68E-06
gene-LOC103909012,LOC103909012,-1.971240997,2.45E-08
gene-si:ch211-278p9.2,si:ch211-278p9.2,-2.220670709,1.39E-05
gene-akap12a,akap12a,-1.699983829,0
gene-ccdc170,ccdc170,-1.531411308,0
gene-myct1b,myct1b,-2.661757192,0.006942498
gene-ahi1,ahi1,-1.904157342,0
gene-cdc42bpaa,cdc42bpaa,-1.607244266,0
gene-zgc:109986,zgc:109986,-1.57199878,5.01E-14
gene-ttc6,ttc6,-3.692700892,0
gene-mapkbp1,mapkbp1,-1.615622682,0
gene-zgc:174379,zgc:174379,-1.797612831,6.74E-08
gene-pimr175,pimr175,-2.677137177,0
gene-ankef1b,ankef1b,-3.845599486,0
gene-snap25b,snap25b,-1.735022313,1.61E-15
gene-ccdc175,ccdc175,-2.912204597,0
gene-sdsl,sdsl,-2.011891748,1.32E-09
gene-si:ch211-84m6.5,si:ch211-84m6.5,-1.67123524,0.014973805
gene-ros1,ros1,-2.751818237,0
gene-zgc:85722,zgc:85722,-1.778368971,0
gene-LOC799067,LOC799067,-1.751154325,0.00027486
gene-map7a,map7a,1.514325697,0.022660146
gene-hhipl1,hhipl1,-1.778024292,3.42E-05
gene-ccdc85ca,ccdc85ca,-2.032370888,0
gene-ak7b,ak7b,-2.121801406,0
gene-si:ch73-288o11.5,si:ch73-288o11.5,-2.005911182,0.00349964
gene-slc16a9a,slc16a9a,-1.670061739,2.91E-12
gene-ank3a,ank3a,-3.363462029,2.22E-13
gene-eno4,eno4,-4.073489334,0
gene-gpr26,gpr26,2.302782533,0.009928329
gene-slc22a7b.2,slc22a7b.2,1.769108712,2.83E-10
gene-cuzd1.1,cuzd1.1,-1.762401747,3.01E-07
gene-si:ch211-125o16.4,si:ch211-125o16.4,-2.53165224,0.008192082
gene-fas,fas,-1.9729094,5.81E-07
gene-slc16a12a,slc16a12a,-1.745378259,0.000516419
gene-minpp1a,minpp1a,-6.08478738,2.69E-08
gene-otx1b,otx1b,1.592671473,0
gene-peli1b,peli1b,-6.302735848,0
gene-arhgef33,arhgef33,-2.485627245,0
gene-morn2,morn2,-4.096300165,0
gene-map4k3b,map4k3b,-1.915550095,4.24E-07
gene-zbtb8a,zbtb8a,1.673941124,0
gene-si:ch211-195o20.7,si:ch211-195o20.7,-1.5208921,0
gene-pabpc4,pabpc4,-2.364381092,0
gene-zpcx,zpcx,1.92816981,2.85E-14
gene-LOC110438042,LOC110438042,-2.864279225,1.69E-09
gene-tdh2,tdh2,-2.707171445,0
gene-aim1a,aim1a,-1.646958697,0
gene-wapla,wapla,-6.976453099,2.57E-07
gene-ndnfl,ndnfl,-2.398418508,1.06E-05
gene-asmt2,asmt2,-8.338962783,3.68E-11
gene-jade1,jade1,-3.743278529,0
gene-rcan3,rcan3,-2.974791501,0
gene-pacrg,pacrg,-2.163936412,0
gene-prkd1,prkd1,-3.564023804,0
gene-spata17,spata17,-4.358358527,0
gene-fam150bb,fam150bb,-2.48581745,3.20E-07
gene-nhsl1a,nhsl1a,-1.537409722,0
gene-pkdccb,pkdccb,-2.423482982,4.88E-05
gene-disp2,disp2,-1.922121781,1.28E-12
gene-bahd1,bahd1,-2.741822473,0
gene-dhx32b,dhx32b,-1.954220298,0
gene-LOC101884596,LOC101884596,-3.451808295,4.41E-09
gene-ect2l,ect2l,-2.604579044,1.45E-11
gene-dnal1,dnal1,-2.789511455,0
gene-rnf144aa,rnf144aa,-1.510230811,0
gene-mapre3a,mapre3a,-1.654901723,0
gene-dtnbb,dtnbb,-2.282369554,3.03E-13
gene-rps6ka5,rps6ka5,-1.533969957,1.44E-05
gene-stard9,stard9,-2.015691218,0
gene-sptb,sptb,-1.833813931,0
gene-LOC799203,LOC799203,-1.756431496,0.016992551
gene-gpr132a,gpr132a,-3.095272959,0.00029357
gene-pimr62,pimr62,-2.847102891,0
gene-pimr60,pimr60,-4.859533989,0
gene-kiz,kiz,-1.514980519,0
gene-nkx2.2a,nkx2.2a,-1.686306463,0.035729524
gene-foxa2,foxa2,-2.295612788,2.02E-05
gene-si:dkey-1f12.3,si:dkey-1f12.3,-1.501026599,0
gene-reep1,reep1,-2.593362459,0.000559343
gene-nt5c1ab,nt5c1ab,-2.523945287,0.0088695
gene-cfap99,cfap99,-5.266960971,0
gene-si:dkey-166f24.2,si:dkey-166f24.2,-2.080574887,0.000347242
gene-ezra,ezra,-2.264217984,0.017375728
gene-zgc:162184,zgc:162184,-2.14619772,2.83E-07
gene-LOC101883153,LOC101883153,-2.909144095,0.001424931
gene-kcnk17,kcnk17,-2.147197378,8.48E-07
gene-kif6,kif6,-2.204841586,0
gene-tiam2a,tiam2a,-1.532505109,0
gene-galnt16,galnt16,-2.225833016,3.67E-12
gene-zc2hc1c,zc2hc1c,-2.865598672,0
gene-si:dkey-3h2.3,si:dkey-3h2.3,-4.057823664,2.66E-08
gene-LOC108179808,LOC108179808,-1.880180848,1.01E-06
gene-LOC103909099,LOC103909099,-3.610798485,1.16E-12
gene-paplna,paplna,-1.527877306,0
gene-si:ch211-168d23.3,si:ch211-168d23.3,-2.224420822,9.17E-06
gene-myt1lb,myt1lb,-2.550196194,0.016969908
gene-ift43,ift43,-3.058639236,0
gene-LOC101882760,LOC101882760,-2.077420059,4.15E-10
gene-rps6kl1,rps6kl1,-3.363067134,4.54E-10
gene-prox2,prox2,-1.683333662,0
gene-spred1,spred1,-1.881722723,0
gene-meis2a,meis2a,-2.480231562,0
gene-vash1,vash1,-2.320406252,0
gene-LOC108179813,LOC108179813,-1.955060078,0.030522569
gene-si:ch1073-416d2.4,si:ch1073-416d2.4,-1.660115985,0
gene-asb2b,asb2b,-1.967974397,6.29E-13
gene-fabp10b,fabp10b,-1.802454793,0.000110681
gene-LOC101884945,LOC101884945,-3.740463265,0
gene-hdc,hdc,-2.136789493,1.21E-15
gene-larp6,larp6,1.625892757,0
gene-tarsl2,tarsl2,-1.509711435,0.029866726
gene-gpib,gpib,-4.023298935,0
gene-nedd4a,nedd4a,-2.436439484,1.65E-08
gene-hcn4,hcn4,-2.319559817,5.73E-13
gene-nptnb,nptnb,-2.02953003,1.79E-11
gene-c18h15orf65,c18h15orf65,-2.993059862,0
gene-dnaaf4,dnaaf4,-2.570236053,0
gene-LOC103909107,LOC103909107,-1.786862106,0.000368853
gene-ccpg1,ccpg1,-1.834812087,0
gene-relt,relt,-1.514638925,0
gene-LOC100538302,LOC100538302,-2.64505035,3.80E-11
gene-myo7aa,myo7aa,-3.427407897,4.55E-09
gene-gdpd4a,gdpd4a,-3.420397143,0
gene-zbbx,zbbx,-3.351968977,0
gene-slc24a5,slc24a5,-1.504061143,0.034551479
gene-slc12a1,slc12a1,-2.932064161,6.88E-08
gene-fbn1,fbn1,-1.980423461,0
gene-LOC100331743,LOC100331743,-3.739146052,0
gene-nnt2,nnt2,-3.673492726,4.70E-10
gene-cyp1a,cyp1a,1.566749298,0
gene-cplx3b,cplx3b,-2.380323626,0
gene-iqsec3b,iqsec3b,-1.578679959,0.009767937
gene-adm2b,adm2b,-1.809218445,0
gene-si:dkey-88e18.2,si:dkey-88e18.2,-2.050979282,8.57E-14
gene-cfap161,cfap161,-1.891480004,0
gene-vwf,vwf,-1.92597071,0
gene-caps2,caps2,-2.358932371,0
gene-LOC563500,LOC563500,-2.749097351,1.06E-08
gene-neto2b,neto2b,-2.254885383,0.001581883
gene-odf3b,odf3b,-3.806579427,2.06E-13
gene-LOC795545,LOC795545,-1.747260158,0
gene-LOC100535167,LOC100535167,-2.07902744,4.39E-11
gene-cpt1b,cpt1b,-2.272551745,4.92E-07
gene-si:ch211-220f12.4,si:ch211-220f12.4,-1.929270597,3.58E-08
gene-si:ch211-220f12.1,si:ch211-220f12.1,-1.730224005,0
gene-lepa,lepa,-3.322748947,0.002576963
gene-mical3a,mical3a,-1.567477614,0
gene-bicd1a,bicd1a,-2.568108524,0.001893961
gene-tat,tat,-1.576989507,0.003320256
gene-si:dkey-246g23.4,si:dkey-246g23.4,-1.857362606,0.003773863
gene-wfdc1,wfdc1,-1.522422567,5.87E-09
gene-panx2,panx2,-2.60014368,6.67E-05
gene-mlc1,mlc1,-1.766147514,0.001505437
gene-zgc:153031,zgc:153031,-1.562335079,0
gene-rfx4,rfx4,-1.896077417,0.018734899
gene-bhlhe41,bhlhe41,-1.867260258,0.000479872
gene-alx1,alx1,-2.714147046,0.000143469
gene-lrriq1,lrriq1,-2.616993985,0
gene-slc6a15,slc6a15,-2.15376428,1.07E-11
gene-LOC100001178,LOC100001178,-3.358723901,0
gene-lyve1b,lyve1b,-2.18115625,0.049841451
gene-si:dkey-8l13.5,si:dkey-8l13.5,-1.851791189,1.27E-05
gene-has3,has3,-3.195911912,4.25E-12
gene-cetp,cetp,-2.149148874,1.28E-07
gene-nlrc5,nlrc5,-2.288888784,0
gene-mt2,mt2,1.969513136,0
gene-cpne2,cpne2,-2.759967829,0
gene-il34,il34,-1.518760237,0
gene-tgm2l,tgm2l,-3.508257967,0
gene-lctlb,lctlb,-1.658895495,1.29E-05
gene-smad6b,smad6b,-2.237337477,0
gene-iqch,iqch,-4.420656615,0
gene-cftr,cftr,-2.214231761,0.000223023
gene-pgpep1l,pgpep1l,-4.89795086,0.000313037
gene-fam169b,fam169b,-1.904530575,3.65E-08
gene-anpepa,anpepa,-1.879051224,0.001034848
gene-calb2a,calb2a,-1.698232121,0.000514441
gene-pnp6,pnp6,-2.812651996,4.45E-08
gene-hydin,hydin,-2.810675884,0
gene-pskh1,pskh1,-2.17816676,1.23E-10
gene-LOC100538233,LOC100538233,-1.688610973,0.00049795
gene-necab2,necab2,-2.104309188,0
gene-tsnaxip1,tsnaxip1,-1.778121592,0
gene-st8sia2,st8sia2,1.644768121,0
gene-LOC570903,LOC570903,-2.087645567,0
gene-cd81b,cd81b,-1.910572017,1.21E-15
gene-iqcg,iqcg,-2.841386372,0
gene-si:ch73-103b9.2,si:ch73-103b9.2,-3.410595584,0
gene-LOC101883751,LOC101883751,-1.575355394,0
gene-gas8,gas8,-1.803449491,0
gene-LOC101886860,LOC101886860,-1.770790583,0.030938696
gene-LOC570184,LOC570184,-1.893974037,0.005875644
gene-v2ra1,v2ra1,-2.219106814,0.005816866
gene-olfcd2,olfcd2,-1.509198671,0.014493718
gene-v2rh1,v2rh1,-1.742863492,0.029701987
gene-si:dkey-145c18.3,si:dkey-145c18.3,-2.260087643,6.06E-14
gene-LOC101885777,LOC101885777,-3.154932216,2.35E-11
gene-cfap45,cfap45,-2.714633047,0
gene-LOC103909170,LOC103909170,-1.550665086,0.000488253
gene-tmem91,tmem91,-2.611200211,0.008439948
gene-b3gat1a,b3gat1a,-4.048072357,0
gene-fosb,fosb,-1.562132991,0
gene-tmem123,tmem123,-4.561269418,0
gene-cep126,cep126,-2.894851163,0
gene-gnb5b,gnb5b,-1.768571869,0.010194073
gene-LOC101886500,LOC101886500,-4.034504594,0
gene-fbxo36a,fbxo36a,-2.100649269,0
gene-bcl7bb,bcl7bb,2.015706768,0.002456022
gene-grk7b,grk7b,-1.632958631,1.83E-05
gene-si:ch211-151h10.2,si:ch211-151h10.2,-5.187671774,0
gene-spred3,spred3,-3.196198832,3.68E-07
gene-wt1b,wt1b,-2.090761504,0
gene-si:dkey-34o23.3,si:dkey-34o23.3,-2.087223051,0
gene-abcc5,abcc5,-1.604384035,0
gene-si:dkey-244a7.1,si:dkey-244a7.1,-2.422619343,9.61E-06
gene-foxa3,foxa3,-1.821130477,1.05E-05
gene-si:ch211-14c7.2,si:ch211-14c7.2,-1.646464767,4.74E-07
gene-daw1,daw1,-4.591010743,0
gene-LOC100148665,LOC100148665,-1.845907425,2.24E-05
gene-LOC103909181,LOC103909181,-4.669318583,1.02E-06
gene-LOC101883877,LOC101883877,-2.174773138,0
gene-kcnj1a.1,kcnj1a.1,-2.222547805,0
gene-st3gal4,st3gal4,-2.004628313,0
gene-LOC108180053,LOC108180053,-2.411029536,4.74E-08
gene-LOC100333499,LOC100333499,-1.864253356,0
gene-abcc8b,abcc8b,-2.590365992,6.25E-07
gene-loxl1,loxl1,-2.997587026,2.95E-10
gene-LOC101884348,LOC101884348,-2.125859861,0.027305335
gene-cd276,cd276,-1.541862979,0
gene-si:dkey-151j17.4,si:dkey-151j17.4,-2.654816255,1.73E-09
gene-chrnb4,chrnb4,-1.539622585,0.049322564
gene-chrna3,chrna3,-1.86363704,0.005743848
gene-si:ch1073-450f2.1,si:ch1073-450f2.1,-2.242983498,2.14E-13
gene-reln,reln,-1.665740216,0
gene-LOC100331704,LOC100331704,-1.818227366,0
gene-LOC101883470,LOC101883470,-3.070809229,0.000340951
gene-gpd1c,gpd1c,-1.934792614,0
gene-ensaa,ensaa,-2.074776897,2.85E-08
gene-tnfaip8l2a,tnfaip8l2a,-1.64822334,0
gene-slc6a19a.2,slc6a19a.2,-2.481182038,0.002120545
gene-fhod3a,fhod3a,-2.002077002,0
gene-ppp1r18,ppp1r18,-2.691201903,0
gene-tgfbr2a,tgfbr2a,-1.827876891,8.11E-16
gene-slc39a4,slc39a4,-2.30632091,6.62E-07
gene-LOC100149991,LOC100149991,-2.695453949,4.08E-16
gene-dgat1a,dgat1a,-2.008010745,5.61E-14
gene-LOC101885216,LOC101885216,-2.614996794,0
gene-itgb8,itgb8,-3.289774981,2.16E-13
gene-LOC100536924,LOC100536924,-2.510671104,0.035256557
gene-clec3bb,clec3bb,-1.741179531,0.005134628
gene-rapgef5a,rapgef5a,-1.777642275,0
gene-si:ch211-80h18.1,si:ch211-80h18.1,-3.827306284,0
gene-illr1,illr1,-2.630467131,3.76E-06
gene-LOC101885869,LOC101885869,-1.724493478,1.68E-05
gene-tmem170b,tmem170b,-2.347875249,2.56E-05
gene-nedd9,nedd9,-3.220401208,0
gene-oscp1a,oscp1a,-3.133831997,1.42E-05
gene-stpg1,stpg1,-3.922515472,0
gene-si:ch73-281i18.3,si:ch73-281i18.3,-1.587833345,0.003394635
gene-si:dkeyp-13a3.8,si:dkeyp-13a3.8,-2.626306556,1.99E-05
gene-map7d1b,map7d1b,-1.866250877,0
gene-si:ch73-281i18.7,si:ch73-281i18.7,-3.41916085,6.92E-05
gene-si:ch73-281i18.6,si:ch73-281i18.6,-2.610703287,1.55E-06
gene-LOC100149327,LOC100149327,-2.627654984,0.001113795
gene-LOC100334439,LOC100334439,2.762508113,0
gene-ppp1r1b,ppp1r1b,-1.949827708,7.65E-07
gene-stx1b,stx1b,-2.444282975,0.000121598
gene-krt1-19d,krt1-19d,-2.81959056,3.76E-09
gene-krtt1c19e,krtt1c19e,-2.995504267,1.21E-15
gene-cyt1l,cyt1l,-1.510260038,6.78E-06
gene-krt17,krt17,-1.849780527,0
gene-krt91,krt91,-2.244049951,0
gene-pdk2b,pdk2b,-2.351044154,0
gene-LOC100537384,LOC100537384,-2.323931369,0
gene-atp1a3a,atp1a3a,-2.387142584,0
gene-LOC100004582,LOC100004582,-3.419365382,0
gene-psmb8a,psmb8a,-1.871970163,0
gene-psmb10,psmb10,-1.806629981,0
gene-abcb3l1,abcb3l1,-2.687796494,0
gene-col11a2,col11a2,-2.259461817,0
gene-s100a11,s100a11,-1.858587529,0.000339873
gene-tuft1b,tuft1b,-1.867029065,0.010813775
gene-LOC108180146,LOC108180146,-1.596931526,0
gene-s100a10a,s100a10a,-1.513031143,0
gene-trim46b,trim46b,-1.783704249,2.05E-14
gene-si:ch73-350k19.1,si:ch73-350k19.1,1.663831248,0
gene-crabp2b,crabp2b,-1.874332453,1.60E-05
gene-si:ch211-81a5.1,si:ch211-81a5.1,-2.316571382,0
gene-si:ch211-81a5.5,si:ch211-81a5.5,-3.584633276,0
gene-hcn3,hcn3,-2.683050162,0
gene-vamp1,vamp1,-2.300053894,0
gene-cacng7a,cacng7a,-1.547397097,2.74E-10
gene-dbpa,dbpa,-1.631028634,2.48E-06
gene-shisa7b,shisa7b,-2.265362322,0
gene-si:ch211-232m10.6,si:ch211-232m10.6,-1.742112591,0.000494557
gene-si:ch211-171h4.5,si:ch211-171h4.5,-2.219135327,2.05E-05
gene-si:ch211-171h4.6,si:ch211-171h4.6,-2.760200118,0.000803656
gene-si:dkey-211g8.4,si:dkey-211g8.4,-1.548231839,0.004023086
gene-tekt2,tekt2,-3.74265991,0
gene-lipea,lipea,-1.751793507,0
gene-si:ch73-347e22.8,si:ch73-347e22.8,-1.899267743,0.021472673
gene-kcng2,kcng2,-2.00882271,2.65E-06
gene-pabpc1b,pabpc1b,-2.617778095,0
gene-grhl2b,grhl2b,-2.721275703,1.25E-08
gene-ncaldb,ncaldb,-1.655513199,0
gene-LOC103909209,LOC103909209,-1.987332669,0.000117826
gene-si:ch211-204a13.2,si:ch211-204a13.2,-1.565875097,0
gene-ctgfb,ctgfb,-2.333256941,1.41E-09
gene-rab42a,rab42a,-1.816567702,1.21E-05
gene-LOC110438141,LOC110438141,-1.991557028,3.13E-07
gene-nr1d2b,nr1d2b,-1.56826634,0
gene-qrfp,qrfp,-3.006994679,5.30E-06
gene-LOC108180149,LOC108180149,-1.65655066,0.019369077
gene-lye,lye,-2.745837124,0.001873104
gene-wu:fc38h03,wu:fc38h03,-2.845050685,1.65E-09
gene-hoxa1a,hoxa1a,-1.811770164,2.28E-13
gene-fam221a,fam221a,-1.775747262,0
gene-igf2bp3,igf2bp3,1.545206585,0
gene-znf516,znf516,-1.547404419,0
gene-sall3b,sall3b,-1.955782118,0
gene-si:ch73-196l6.5,si:ch73-196l6.5,-2.391166054,0.025125684
gene-gdf6b,gdf6b,-2.128146686,0.012155568
gene-si:ch211-244a23.1,si:ch211-244a23.1,-1.655921252,0
gene-pimr81,pimr81,-4.259247111,0
gene-pimr82,pimr82,-4.712837925,0
gene-pimr80,pimr80,-3.132490931,0
